Date;Price;Vol.;Change %
04/14/2020;128.45;19.46M;2.76%
04/13/2020;125;14.61M;-1.20%
4/10/2020;126.52;19.90M;1.23%
4/9/2020;124.98;15.88M;-0.24%
4/8/2020;125.28;20.11M;0.92%
4/7/2020;124.14;29.45M;5.63%
4/3/2020;117.52;17.58M;0.28%
4/2/2020;117.19;19.15M;1.90%
4/1/2020;115;17.60M;-0.17%
03/31/2020;115.2;18.85M;1.74%
03/30/2020;113.23;20.58M;-2.23%
03/27/2020;115.81;23.54M;1.69%
03/26/2020;113.89;20.88M;-0.10%
03/25/2020;114;30.95M;4.54%
03/24/2020;109.05;35.64M;4.34%
03/23/2020;104.51;32.83M;-3.69%
03/20/2020;108.51;42.21M;6.27%
03/19/2020;102.11;60.17M;-5.09%
03/18/2020;107.59;40.44M;-4.25%
03/17/2020;112.36;35.30M;-2.72%
03/16/2020;115.5;37.02M;-5.79%
03/13/2020;122.6;35.09M;-2.73%
3/12/2020;126.04;25.27M;-2.97%
3/11/2020;129.9;18.76M;-0.63%
3/10/2020;130.72;31.08M;3.50%
3/9/2020;126.3;24.45M;-2.90%
3/6/2020;130.07;29.17M;-2.35%
3/5/2020;133.2;56.56M;6.33%
3/4/2020;125.27;19.76M;0.72%
3/3/2020;124.37;23.09M;1.40%
3/2/2020;122.65;26.98M;1.70%
02/28/2020;120.6;36.60M;-4.51%
02/27/2020;126.3;23.57M;1.77%
02/26/2020;124.1;21.42M;-0.96%
02/25/2020;125.3;24.06M;-1.42%
02/24/2020;127.1;23.56M;-2.23%
02/21/2020;130;20.74M;-0.12%
02/20/2020;130.15;33.47M;3.29%
02/19/2020;126;31.66M;2.12%
02/18/2020;123.39;12.87M;-0.73%
02/17/2020;124.3;23.82M;0.70%
02/14/2020;123.43;16.97M;-0.57%
02/13/2020;124.14;17.86M;-0.28%
2/12/2020;124.49;17.51M;-0.24%
2/11/2020;124.79;24.58M;3.02%
2/10/2020;121.13;22.19M;0.46%
2/7/2020;120.58;28.01M;1.20%
2/6/2020;119.15;30.66M;1.40%
2/5/2020;117.51;38.88M;2.63%
2/4/2020;114.5;71.02M;0.85%
2/3/2020;113.54;16.76M;-10.00%
01/23/2020;126.16;41.59M;-4.21%
01/22/2020;131.7;25.75M;-0.69%
01/21/2020;132.62;29.31M;-3.59%
01/20/2020;137.56;16.75M;-0.71%
01/17/2020;138.55;14.85M;-1.50%
01/16/2020;140.66;14.54M;-0.10%
01/15/2020;140.8;23.48M;1.62%
01/14/2020;138.56;19.91M;-0.79%
01/13/2020;139.66;49.60M;4.52%
1/10/2020;133.62;42.97M;2.18%
1/9/2020;130.77;25.55M;1.46%
1/8/2020;128.89;16.18M;-0.37%
1/7/2020;129.37;22.33M;0.13%
1/6/2020;129.2;25.94M;-1.03%
1/3/2020;130.55;20.47M;-1.16%
1/2/2020;132.08;30.67M;-0.70%
12/31/2019;133.01;19.51M;0.14%
12/30/2019;132.82;34.01M;2.96%
12/27/2019;129;19.65M;0.66%
12/26/2019;128.15;10.11M;0.04%
12/25/2019;128.1;10.98M;-0.47%
12/24/2019;128.7;8.31M;0.44%
12/23/2019;128.14;15.68M;-0.74%
12/20/2019;129.1;13.05M;-0.59%
12/19/2019;129.86;13.04M;-0.82%
12/18/2019;130.94;23.56M;0.53%
12/17/2019;130.25;25.27M;1.10%
12/16/2019;128.83;20.21M;-0.53%
12/13/2019;129.52;16.47M;1.36%
12/12/2019;127.78;12.98M;-0.81%
12/11/2019;128.82;14.72M;-1.56%
12/10/2019;130.86;9.71M;0.28%
12/9/2019;130.49;13.15M;-0.37%
12/6/2019;130.98;20.30M;2.20%
12/5/2019;128.16;11.28M;-0.23%
12/4/2019;128.45;19.22M;1.91%
12/3/2019;126.04;13.95M;-0.76%
12/2/2019;127;14.12M;-0.43%
11/29/2019;127.55;25.88M;-2.49%
11/28/2019;130.81;11.39M;-0.52%
11/27/2019;131.49;15.47M;0.59%
11/26/2019;130.72;17.29M;1.57%
11/25/2019;128.7;23.43M;-0.21%
11/22/2019;128.97;28.31M;-3.51%
11/21/2019;133.66;12.82M;-0.25%
11/20/2019;134;21.01M;0.37%
11/19/2019;133.5;15.57M;0.38%
11/18/2019;133;13.46M;-0.25%
11/15/2019;133.33;13.07M;-0.91%
11/14/2019;134.55;18.72M;-0.05%
11/13/2019;134.62;18.16M;0.94%
11/12/2019;133.37;16.01M;0.49%
11/11/2019;132.72;21.77M;-1.39%
11/8/2019;134.59;28.92M;1.07%
11/7/2019;133.17;10.40M;0.41%
11/6/2019;132.63;19.09M;-1.23%
11/5/2019;134.28;16.40M;0.22%
11/4/2019;133.99;22.05M;0.22%
11/1/2019;133.7;22.38M;1.23%
10/31/2019;132.08;33.33M;0.86%
10/30/2019;130.95;13.28M;-0.42%
10/29/2019;131.5;21.47M;1.11%
10/28/2019;130.05;23.64M;1.44%
10/25/2019;128.2;25.79M;2.95%
10/24/2019;124.53;27.06M;-2.19%
10/23/2019;127.32;19.18M;-1.30%
10/22/2019;129;14.44M;0.69%
10/21/2019;128.12;16.56M;0.64%
10/18/2019;127.3;32.54M;-2.30%
10/17/2019;130.3;14.76M;0.13%
10/16/2019;130.13;27.44M;-1.93%
10/15/2019;132.69;27.49M;1.40%
10/14/2019;130.86;21.04M;-0.30%
10/11/2019;131.25;22.67M;0.20%
10/10/2019;130.99;29.35M;-0.62%
10/9/2019;131.81;16.88M;-0.72%
10/8/2019;132.76;22.69M;2.28%
09/30/2019;129.8;26.54M;-2.99%
09/27/2019;133.8;16.67M;-0.22%
09/26/2019;134.1;21.94M;-1.79%
09/25/2019;136.54;18.96M;0.02%
09/24/2019;136.51;26.87M;1.23%
09/23/2019;134.85;20.96M;-1.45%
09/20/2019;136.84;25.79M;1.42%
09/19/2019;134.92;18.20M;-0.47%
09/18/2019;135.56;36.39M;3.06%
09/17/2019;131.54;25.79M;0.47%
09/16/2019;130.92;23.81M;-0.48%
9/12/2019;131.55;41.28M;1.77%
9/11/2019;129.26;70.23M;-5.82%
9/10/2019;137.25;24.78M;-1.40%
9/9/2019;139.2;22.49M;-0.58%
9/6/2019;140.01;27.93M;0.80%
9/5/2019;138.9;30.02M;0.43%
9/4/2019;138.31;38.06M;-2.25%
9/3/2019;141.5;27.48M;-0.27%
9/2/2019;141.89;32.99M;0.28%
08/30/2019;141.5;44.08M;3.28%
08/29/2019;137;31.63M;2.30%
08/28/2019;133.92;34.38M;1.16%
08/27/2019;132.38;37.97M;3.89%
08/26/2019;127.42;28.32M;-2.06%
08/23/2019;130.1;32.07M;-0.31%
08/22/2019;130.5;30.21M;2.07%
08/21/2019;127.85;23.29M;-1.34%
08/20/2019;129.59;30.66M;1.32%
08/19/2019;127.9;31.27M;1.27%
08/16/2019;126.3;31.22M;0.25%
08/15/2019;125.98;24.70M;0.10%
08/14/2019;125.85;41.63M;2.90%
08/13/2019;122.3;19.19M;-0.44%
8/12/2019;122.84;39.54M;4.08%
8/9/2019;118.02;27.82M;-2.07%
8/8/2019;120.52;25.22M;1.38%
8/7/2019;118.88;25.69M;-1.98%
8/6/2019;121.28;53.31M;3.70%
8/5/2019;116.95;26.99M;-0.99%
8/2/2019;118.12;27.00M;-0.76%
8/1/2019;119.03;26.07M;-1.39%
07/31/2019;120.71;24.27M;-1.78%
07/30/2019;122.9;23.89M;-0.69%
07/29/2019;123.75;35.60M;2.06%
07/26/2019;121.25;23.52M;-0.35%
07/25/2019;121.68;43.98M;1.82%
07/24/2019;119.5;28.28M;-0.46%
07/23/2019;120.05;42.68M;-2.75%
07/22/2019;123.45;22.93M;1.07%
07/19/2019;122.14;23.84M;0.94%
07/18/2019;121;27.96M;-2.10%
07/17/2019;123.6;19.84M;0.02%
07/16/2019;123.58;22.98M;-1.21%
07/15/2019;125.09;29.44M;-0.39%
7/12/2019;125.58;33.45M;1.68%
7/11/2019;123.5;42.10M;-2.32%
